iter	Logloss
0	0.68047946
1	0.670119283
2	0.6591426839
3	0.6488336608
4	0.6387123101
5	0.62961238
6	0.6199545168
7	0.6120689785
8	0.6027136411
9	0.5951147352
10	0.5882772733
11	0.5812265034
12	0.5749053772
13	0.5682939259
14	0.5629101974
15	0.5571313634
16	0.5516619182
17	0.5465562928
18	0.5410874904
19	0.5359576207
20	0.5314797517
21	0.5267158439
22	0.5228285441
23	0.5192444803
24	0.5156998573
25	0.5115719272
26	0.5084997764
27	0.5051202021
28	0.5023937825
29	0.5000462705
30	0.4976065801
31	0.4951300916
32	0.4929130341
33	0.4906000098
34	0.4880325978
35	0.4857860609
36	0.4838746457
37	0.4816472311
38	0.4799885219
39	0.4783390524
40	0.4766733224
41	0.4747657665
42	0.4733604242
43	0.4715289486
44	0.4699666463
45	0.468428917
46	0.4670654429
47	0.4654154785
48	0.4640363898
49	0.4624888359
50	0.4613710887
51	0.4601049345
52	0.4584638509
53	0.4571921061
54	0.4561720231
55	0.4551125159
56	0.4537472483
57	0.4524809645
58	0.451388395
59	0.4503454106
60	0.4495000386
61	0.4486970798
62	0.4477285148
63	0.4467004281
64	0.4460079871
65	0.4453347954
66	0.4444955167
67	0.4437094931
68	0.4427339591
69	0.4421453294
70	0.4413972948
71	0.4405112099
72	0.4397232392
73	0.4391863116
74	0.43816165
75	0.4375295577
76	0.4368226943
77	0.4361825884
78	0.4354288966
79	0.4346033201
80	0.4340545897
81	0.433415762
82	0.4327862895
83	0.4322844953
84	0.4317337072
85	0.4311518364
86	0.4305536149
87	0.4299397278
88	0.4294930486
89	0.4287281365
90	0.4282310544
91	0.4276521557
92	0.4271919747
93	0.4266964709
94	0.4261409384
95	0.4257910226
96	0.4252635132
97	0.4243614503
98	0.4239432572
99	0.4234337271
100	0.4231342484
101	0.4226664533
102	0.4221869587
103	0.421717132
104	0.4213565654
105	0.4209697951
106	0.4205746655
107	0.4199278003
108	0.4193334519
109	0.418843138
110	0.4183564812
111	0.418070615
112	0.4177225623
113	0.4174449156
114	0.4170899883
115	0.4167382997
116	0.4163763362
117	0.4158549522
118	0.415426199
119	0.4151525504
120	0.4149032576
121	0.4144784075
122	0.4141040085
123	0.4136322
124	0.4133889427
125	0.4128262842
126	0.4125734033
127	0.4123266146
128	0.4119631967
129	0.4116801382
130	0.4113592783
131	0.4110910894
132	0.4108032527
133	0.4105315712
134	0.4102996006
135	0.4100832859
136	0.4097097834
137	0.4094306583
138	0.4090304671
139	0.4088437184
140	0.4083901562
141	0.4079442422
142	0.4076802612
143	0.4075464451
144	0.4072614663
145	0.4070096872
146	0.4067585709
147	0.406388803
148	0.4062367454
149	0.4059234462
